g	s	f
7A5	5	f-41
A-575C2.4	15	f-14
A1BG-AS1	1	f-14
A1BG-AS1	1	f-16
A2BP1	5	f-41
A2BP1	7	f-13
A2BP1	7	f-25
A2LD1	2	f-16
A2LD1	2	f-25
A2LD1	23	f-62
A2LD1	29	f-61
A2LD1	51	f-63
A2M	15	f-62
A2M	19	f-14
A2M	2	f-13
A2M	37	f-35
A2M	4	f-25
A2M	41	f-63
A2M	44	f-61
A2M	82	f-392
A2M-AS1	197	f-390
A2M-AS1	201	f-391
A2M-AS1	239	f-91
A2M-AS1	267	f-39
A2M-AS1	3	f-14
A2M-AS1	3	f-37
A2M-AS1	5	f-302
A2M-AS1	53	f-92
A2M-AS1	92	f-27
A2M-AS1	95	f-35
A2M-AS1	99	f-392
A2ML1	2	f-14
A2ML1	2	f-25
A2MP1	140	f-12
A2MP1	141	f-391
A2MP1	15	f-35
A2MP1	169	f-91
A2MP1	19	f-36
A2MP1	28	f-14
A2MP1	64	f-38
A2MP1	68	f-92
A2MP1	69	f-37
A2MP1	69	f-390
A2MP1	78	f-39
A2MP1	78	f-392
A3GALT2	17	f-27
A3GALT2	197	f-12
A3GALT2	4	f-25
A3GALT2	88	f-92
A3GALT2P	4	f-14
A4GALT	10	f-213
A4GALT	126	f-12
A4GALT	184	f-13
A4GALT	26	f-63
A4GALT	34	f-61
A4GALT	37	f-62
A4GALT	6	f-14
A4GALT	6	f-212
A4GNT	1	f-14
A4GNT	168	f-27
AAAS	1	f-36
AAAS	2	f-14
AAAS	2	f-26
AAAS	5	f-61
AAAS	7	f-63
AACS	1	f-16
AACS	1	f-213
AACS	1	f-25
AACS	1	f-26
AACS	1	f-41
AACS	2	f-212
AACS	22	f-14
AACS	28	f-13
AACS	3	f-63
AACS	6	f-391
AACSP1	209	f-27
AADAC	1	f-36
AADACL1	10	f-61
AADACL1	16	f-13
AADACL1	22	f-63
AADACL1	35	f-62
AADACL1	7	f-26
AADACL2	1	f-41
AADACL2	6	f-13
AADACL3	18	f-13
AADACL4	1	f-25
AADAT	1	f-38
AADAT	1	f-63
AADAT	5	f-13
AADAT	5	f-25
AADAT	5	f-41
AAED1	1	f-14
AAED1	1	f-390
AAED1	4	f-28
AAGAB	1	f-12
AAGAB	11	f-14
AAGAB	2	f-27
AAK1	1	f-25
AAK1	1	f-26
AAK1	1	f-62
AAK1	2	f-63
AAK1	6	f-14
AAK1	6	f-28
AAMDC	12	f-12
AAMDC	2	f-27
AAMDC	5	f-14
AAMP	1	f-25
AAMP	20	f-26
AAMP	4	f-14
AAMP	6	f-13
AAMP	7	f-41
AANAT	1	f-211
AANAT	1	f-212
AANAT	1	f-213
AANAT	1	f-25
AANAT	48	f-12
AANAT	7	f-14
AAR2	10	f-12
AAR2	5	f-14
AARS	16	f-14
AARS	3	f-63
AARS	4	f-26
AARS	47	f-13
AARS2	1	f-212
AARS2	10	f-14
AARS2	2	f-61
AARS2	3	f-36
AARS2	4	f-63
AARS2	9	f-62
AARSD1	20	f-13
AARSD1	34	f-26
AARSD1	34	f-63
AASDH	1	f-212
AASDH	116	f-13
AASDH	15	f-61
AASDH	16	f-14
AASDH	16	f-26
AASDH	18	f-62
AASDH	188	f-12
AASDH	199	f-23
AASDH	199	f-71
AASDH	2	f-41
AASDH	20	f-63
AASDH	3	f-213
AASDH	83	f-33
AASDHPPT	1	f-16
AASDHPPT	1	f-41
AASDHPPT	17	f-62
AASDHPPT	2	f-61
AASDHPPT	21	f-26
AASDHPPT	28	f-63
AASDHPPT	4	f-25
AASDHPPT	417	f-13
AASS	1	f-12
AASS	1	f-62
AASS	10	f-391
AASS	11	f-390
AASS	11	f-91
AASS	12	f-39
AASS	13	f-38
AASS	13	f-392
AASS	17	f-36
AASS	18	f-92
AASS	19	f-35
AASS	2	f-28
AASS	21	f-37
AASS	25	f-14
AASS	29	f-42
AASS	6	f-33
AATF	1	f-25
AATF	1	f-26
AATF	1	f-39
AATF	1	f-391
AATF	11	f-14
AATF	17	f-13
AATF	2	f-61
AATF	8	f-63
AATF	9	f-62
AATK	1	f-16
AATK	1	f-39
AATK	1	f-63
AATK	10	f-390
AATK	11	f-61
AATK	14	f-62
AATK	19	f-23
AATK	19	f-71
AATK	2	f-392
AATK	3	f-211
AATK	3	f-212
AATK	4	f-22
AATK	43	f-14
AATK	5	f-213
AATK	60	f-12
AATK	89	f-13
AB015752.4	1	f-14
AB019440.50	1	f-392
AB019440.50	2	f-36
AB019441.29	1	f-92
ABAT	1	f-211
ABAT	1	f-212
ABAT	1	f-213
ABAT	1	f-225
ABAT	1	f-42
ABAT	1	f-51
ABAT	110	f-23
ABAT	110	f-71
ABAT	12	f-28
ABAT	13	f-62
ABAT	13	f-92
ABAT	16	f-25
ABAT	16	f-35
ABAT	165	f-13
ABAT	2	f-38
ABAT	2	f-41
ABAT	25	f-22
ABAT	25	f-61
ABAT	26	f-390
ABAT	3	f-12
ABAT	34	f-63
ABAT	37	f-26
ABAT	49	f-27
ABAT	74	f-14
ABAT	8	f-391
ABC11-48400900C8.1	1	f-14
ABC7-42389800N19.1	1	f-35
ABC7-42389800N19.1	1	f-37
ABC7-42389800N19.1	1	f-392
ABCA1	1	f-26
ABCA1	2	f-390
ABCA1	200	f-13
ABCA1	23	f-63
ABCA1	24	f-14
ABCA1	28	f-41
ABCA1	3	f-391
ABCA1	31	f-62
ABCA1	53	f-42
ABCA1	7	f-392
ABCA1	7	f-61
ABCA10	10	f-211
ABCA10	3	f-37
ABCA10	6	f-213
ABCA10	7	f-14
ABCA10	74	f-27
ABCA10	8	f-212
ABCA11P	1	f-91
ABCA11P	5	f-42
ABCA12	1	f-13
ABCA12	1	f-14
ABCA12	1	f-41
ABCA12	10	f-211
ABCA12	10	f-212
ABCA12	102	f-42
ABCA12	25	f-91
ABCA12	8	f-213
ABCA12	9	f-37
ABCA13	1	f-12
ABCA13	1	f-25
ABCA13	1	f-91
ABCA13	41	f-39
ABCA13	43	f-13
ABCA13	5	f-14
ABCA17P	1	f-92
ABCA17P	2	f-14
ABCA2	1	f-212
ABCA2	1	f-392
ABCA2	2	f-213
ABCA2	24	f-12
ABCA2	74	f-14
ABCA3	1	f-26
ABCA3	1	f-62
ABCA3	1	f-63
ABCA3	23	f-13
ABCA3	6	f-14
ABCA4	2	f-41
ABCA4	41	f-390
ABCA5	1	f-21
ABCA5	1	f-212
ABCA5	1	f-25
ABCA5	17	f-14
ABCA5	2	f-42
ABCA5	2	f-92
ABCA5	20	f-27
ABCA5	20	f-28
ABCA5	3	f-12
ABCA5	66	f-13
ABCA6	1	f-13
ABCA6	1	f-14
ABCA6	1	f-61
ABCA6	2	f-25
ABCA6	2	f-27
ABCA6	4	f-26
ABCA7	1	f-213
ABCA7	1	f-51
ABCA7	101	f-12
ABCA7	2	f-41
ABCA7	258	f-14
ABCA7	29	f-62
ABCA7	3	f-13
ABCA7	3	f-21
ABCA7	3	f-72
ABCA7	30	f-26
ABCA7	31	f-61
ABCA7	33	f-63
ABCA7	40	f-23
ABCA7	40	f-71
ABCA7	7	f-25
ABCA8	1	f-37
ABCA8	1	f-92
ABCA9	1	f-14
ABCA9	2	f-27
ABCA9	4	f-390
ABCB1	1	f-25
ABCB1	1	f-41
ABCB1	1	f-63
ABCB1	2	f-14
ABCB1	3	f-35
ABCB1	88	f-13
ABCB10	1	f-27
ABCB10	2	f-14
ABCB11	1	f-14
ABCB11	3	f-41
ABCB11	35	f-13
ABCB4	1	f-62
ABCB4	17	f-36
ABCB4	27	f-41
ABCB4	48	f-42
ABCB4	56	f-13
ABCB4	6	f-14
ABCB5	1	f-13
ABCB6	1	f-211
ABCB6	4	f-25
ABCB7	1	f-26
ABCB7	4	f-37
ABCB8	1	f-213
ABCB8	1	f-231
ABCB8	1	f-25
ABCB8	16	f-14
ABCB8	2	f-23
ABCB8	2	f-71
ABCB8	4	f-26
ABCB8	7	f-12
ABCB8	7	f-63
ABCB9	1	f-41
ABCB9	103	f-36
ABCB9	116	f-13
ABCB9	13	f-14
ABCB9	141	f-91
ABCB9	142	f-35
ABCB9	150	f-391
ABCB9	155	f-392
ABCB9	162	f-390
ABCB9	26	f-26
ABCB9	26	f-42
ABCB9	28	f-61
ABCB9	283	f-92
ABCB9	294	f-37
ABCB9	3	f-212
ABCB9	3	f-213
ABCB9	4	f-211
ABCB9	4	f-38
ABCB9	45	f-63
ABCB9	83	f-12
ABCB9	9	f-39
ABCC1	1	f-16
ABCC1	1	f-213
ABCC1	10	f-63
ABCC1	11	f-26
ABCC1	26	f-33
ABCC1	31	f-21
ABCC1	31	f-72
ABCC1	32	f-62
ABCC1	53	f-13
ABCC1	54	f-14
ABCC1	7	f-12
ABCC1	7	f-61
ABCC10	1	f-61
ABCC10	1	f-91
ABCC10	6	f-63
ABCC10	7	f-14
ABCC10	9	f-62
ABCC11	6	f-13
ABCC13	1	f-16
ABCC13	1	f-26
ABCC13	10	f-12
ABCC13	211	f-13
ABCC13	3	f-39
ABCC13	30	f-14
ABCC13	4	f-62
ABCC2	102	f-392
ABCC2	105	f-38
ABCC2	127	f-390
ABCC2	128	f-35
ABCC2	13	f-92
ABCC2	14	f-14
ABCC2	2	f-28
ABCC2	21	f-36
ABCC2	38	f-39
ABCC2	39	f-391
ABCC2	50	f-13
ABCC2	59	f-91
ABCC2	6	f-12
ABCC2	69	f-27
ABCC2	77	f-42
ABCC2	79	f-37
ABCC3	1	f-16
ABCC3	1	f-211
ABCC3	1	f-39
ABCC3	1	f-41
ABCC3	13	f-21
ABCC3	13	f-72
ABCC3	155	f-13
ABCC3	3	f-212
ABCC3	36	f-61
