SNPChr	ProbeName	SNPName	SNPChrPos	SNPChrPos	PValue	.	.
5	ERAP2	rs9127	96372165	96372165	2.5782E-23	.	.
5	ERAP2	rs2549782	96231000	96231000	5.1651E-23	.	.
5	ERAP2	rs2255546	96249115	96249115	3.60315E-22	.	.
6	SNHG5	SNP6-86444607	86387888	86387888	2.43295E-17	.	.
9	CUTALP	rs1060817	123583192	123583192	2.97342E-16	.	.
6	HLA-L	rs1045251	30259657	30259657	2.82709E-14	.	.
3	CCDC80	rs2638037	112252390	112252390	5.71725E-14	.	.
2	IL18RAP	rs7559479	103068787	103068787	6.03895E-13	.	.
5	SETD9	rs832583	56178217	56178217	1.67577E-11	.	.
5	SETD9	rs832582	56177743	56177743	1.67577E-11	.	.
3	CCDC80	rs9288952	112185025	112185025	2.44549E-11	.	.
5	SETD9	SNP5-56278531	56242774	56242774	6.11088E-11	.	.
6	HLA-DQA1	SNP6-32735678	32627700	32627700	7.3273E-11	.	.
7	TRGV4	SNP7-38369042	38402517	38402517	2.30961E-10	.	.
8	FUT10	rs8685	33358270	33358270	3.23659E-10	.	.
1	LRRIQ3	SNP1-74444107	74671519	74671519	5.25146E-10	.	.
1	LRRIQ3	rs792310	74665493	74665493	6.72611E-10	.	.
3	ATP13A4	SNP3-194857658	193374964	193374964	7.91614E-10	.	.
1	LRRIQ3	SNP1-74445062	74672474	74672474	9.26403E-10	.	.
3	ATP13A4	SNP3-194897175	193414481	193414481	1.38167E-9	.	.
6	ZFP57	rs885945	29696852	29696852	1.49225E-9	.	.
1	LRRIQ3	rs489941	74672323	74672323	1.49225E-9	.	.
1	FLVCR1-DT	rs3207090	213068595	213068595	1.75715E-9	.	.
3	ATP13A4	rs7624750	193334991	193334991	2.7883E-9	.	.
5	ATP6AP1L	rs226202	81571669	81571669	5.47013E-9	.	.
15	SCAPER	rs3812908	77176158	77176158	7.39935E-9	.	.
17	MAPK8IP1P1	SNP17-41604546	44248769	44248769	7.95543E-9	.	.
17	MAPK8IP1P1	SNP17-41515668	44159849	44159849	7.95543E-9	.	.
3	ATP13A4	SNP3-194897474	193414780	193414780	2.60056E-8	.	.
6	VNN2	SNP6-133087595	133045902	133045902	3.6583E-8	.	.
10	C1QL3	SNP10-16594260	16554254	16554254	3.70428E-8	.	.
6	VNN2	SNP6-133114343	133072650	133072650	5.60391E-8	.	.
3	CCDC80	rs2171513	112184927	112184927	8.89315E-8	.	.
21	PWP2	rs1051981	45525685	45525685	1.22718E-7	.	.
15	CHRNA5	rs8053	78841220	78841220	1.5833E-7	.	.
5	SETD9	rs832575	56161787	56161787	1.7931E-7	.	.
