SNPChr	ProbeName	SNPName	SNPChrPos	SNPChrPos	PValue	.	.
5	ERAP2	rs2255546	96249115	96249115	5.1017E-24	.	.
6	SNHG5	SNP6-86444607	86387888	86387888	2.02525E-23	.	.
9	CUTALP	rs1060817	123583192	123583192	4.43776E-23	.	.
5	ERAP2	rs2549782	96231000	96231000	4.99286E-22	.	.
5	ERAP2	rs9127	96372165	96372165	6.90447E-21	.	.
6	HLA-L	rs1045251	30259657	30259657	1.67665E-16	.	.
3	CCDC80	rs2638037	112252390	112252390	3.44587E-16	.	.
7	TRGV4	SNP7-38369042	38402517	38402517	4.45889E-16	.	.
8	FUT10	rs8685	33358270	33358270	1.04055E-14	.	.
2	TSGA10	rs2516835	99779131	99779131	3.55275E-14	.	.
5	SETD9	rs832583	56178217	56178217	3.63581E-14	.	.
5	SETD9	rs832582	56177743	56177743	3.63581E-14	.	.
10	C1QL3	SNP10-16594260	16554254	16554254	2.82679E-13	.	.
3	CCDC80	rs9288952	112185025	112185025	5.5217E-13	.	.
3	ULK4	rs2272007	41996136	41996136	5.99482E-13	.	.
5	SETD9	SNP5-56278531	56242774	56242774	5.39406E-12	.	.
19	ZNF266	SNP19-9315173	9454173	9454173	7.10138E-12	.	.
9	NMRK1	rs3752955	77684690	77684690	8.00825E-12	.	.
19	ZNF266	rs10515	9523724	9523724	9.91772E-11	.	.
7	TRGV3	SNP7-38369042	38402517	38402517	1.35738E-10	.	.
6	HLA-DPA1	SNP6-33141036	33033058	33033058	1.99663E-10	.	.
6	HLA-DPA1	SNP6-33145500	33037522	33037522	1.99663E-10	.	.
6	HLA-DPA1	rs3077	33033022	33033022	1.99663E-10	.	.
6	HLA-DQA2	SNP6-32735678	32627700	32627700	2.58199E-10	.	.
6	HLA-DQA1	SNP6-32735678	32627700	32627700	3.06608E-10	.	.
6	HLA-DPA1	SNP6-33140946	33032968	33032968	3.33386E-10	.	.
19	ZNF266	rs2241356	9524185	9524185	3.33386E-10	.	.
3	ATP13A4	rs7624750	193334991	193334991	3.62442E-10	.	.
7	KLHL7-DT	rs15775	23164701	23164701	6.9422E-10	.	.
8	LRRC6	rs1048490	133722281	133722281	7.04831E-10	.	.
1	PIGC	rs1063412	172410967	172410967	8.16944E-10	.	.
3	ATP13A4	SNP3-194897175	193414481	193414481	8.64543E-10	.	.
21	CCT8	rs2245431	30357163	30357163	1.05936E-9	.	.
3	ATP13A4	SNP3-194857658	193374964	193374964	1.34439E-9	.	.
6	HLA-DPA1	SNP6-33144831	33036853	33036853	1.5488E-9	.	.
12	IPO8	SNP12-30673759	30782492	30782492	2.33502E-9	.	.
12	IPO8	SNP12-30673343	30782076	30782076	2.33502E-9	.	.
12	IPO8	rs7325	30782402	30782402	2.33502E-9	.	.
19	ZNF429	rs1781873	21477431	21477431	2.33788E-9	.	.
2	SH3YL1	SNP2-267003	277003	277003	2.52238E-9	.	.
5	FAM114A2	SNP5-153414636	153434443	153434443	3.63942E-9	.	.
3	CCDC80	SNP3-113772195	112289505	112289505	4.00468E-9	.	.
2	IL18RAP	rs7559479	103068787	103068787	4.49674E-9	.	.
16	AKTIP	rs1131220	53503934	53503934	5.99131E-9	.	.
1	HORMAD1	SNP1-149004824	150738200	150738200	6.29222E-9	.	.
1	HORMAD1	rs10888390	150727539	150727539	6.29222E-9	.	.
1	OMA1	rs3087585	58971831	58971831	6.76728E-9	.	.
14	KIAA0391	SNP14-34616124	35546373	35546373	7.29449E-9	.	.
11	TMEM9B-AS1	SNP11-8934406	8977830	8977830	7.29449E-9	.	.
12	A2M	SNP12-9052915	9161648	9161648	9.59143E-9	.	.
5	SETD9	rs832575	56161787	56161787	9.77427E-9	.	.
1	HORMAD1	SNP1-148969287	150702663	150702663	1.05277E-8	.	.
8	PPP1R3B	rs330908	8995166	8995166	1.13242E-8	.	.
8	PPP1R3B	rs9949	8994512	8994512	1.13242E-8	.	.
12	A2M	rs1805673	9163059	9163059	1.17166E-8	.	.
6	ZFP57	rs885945	29696852	29696852	1.17303E-8	.	.
2	PPIL3	SNP2-201702785	201994540	201994540	1.3066E-8	.	.
16	AKTIP	rs10748	53504721	53504721	1.30813E-8	.	.
6	NUP43	rs9479094	150046219	150046219	1.5621E-8	.	.
3	ATP13A4	SNP3-194897474	193414780	193414780	1.87669E-8	.	.
6	VNN2	rs1883613	133077063	133077063	2.15343E-8	.	.
12	IPO8	rs14139	30782598	30782598	2.15841E-8	.	.
4	FREM3	SNP4-144662061	144442611	144442611	3.27241E-8	.	.
5	FAM114A2	SNP5-153409652	153429459	153429459	3.5037E-8	.	.
5	FAM114A2	rs2578377	153413390	153413390	3.5037E-8	.	.
5	FAM114A2	SNP5-153412926	153432733	153432733	3.5037E-8	.	.
10	MASTL	rs10764690	27508758	27508758	3.75933E-8	.	.
12	IPO8	SNP12-30715238	30823971	30823971	4.50544E-8	.	.
12	A2M	SNP12-9054570	9163303	9163303	4.58233E-8	.	.
6	VNN2	SNP6-133114343	133072650	133072650	4.60824E-8	.	.
12	CLEC12A	rs479499	10137557	10137557	4.93047E-8	.	.
1	GSTM4	rs2301230	110136458	110136458	4.93602E-8	.	.
5	ADAMTS6	rs467362	64863688	64863688	5.1631E-8	.	.
12	CLEC12A	rs1060648	10136199	10136199	5.27449E-8	.	.
12	A2M-AS1	SNP12-9052915	9161648	9161648	5.51664E-8	.	.
6	VNN2	rs2294758	133045812	133045812	5.78249E-8	.	.
5	ADAMTS6	rs27141	64881936	64881936	6.45918E-8	.	.
12	CLEC12A	rs684134	10137259	10137259	6.60491E-8	.	.
12	IPO8	SNP12-30759269	30868002	30868002	6.8983E-8	.	.
6	VNN2	SNP6-133087595	133045902	133045902	6.93681E-8	.	.
12	CLEC12A	rs607567	10131684	10131684	7.06147E-8	.	.
12	A2M-AS1	rs1805673	9163059	9163059	7.06147E-8	.	.
2	PPIL3	rs7562391	201736166	201736166	7.87366E-8	.	.
5	FAM114A2	rs478020	153429169	153429169	8.41482E-8	.	.
12	LINC00612	SNP12-9052915	9161648	9161648	8.78571E-8	.	.
1	PIGC	rs13932	172411768	172411768	8.79542E-8	.	.
3	CCDC80	rs2171513	112184927	112184927	9.00186E-8	.	.
6	NUP43	SNP6-149995674	149953981	149953981	9.03173E-8	.	.
1	PPP2R5A	SNP1-210601655	212535032	212535032	1.02633E-7	.	.
12	LINC00612	rs1805673	9163059	9163059	1.04569E-7	.	.
2	REEP1	SNP2-86291409	86437898	86437898	1.06892E-7	.	.
5	FAM114A2	rs2255493	153432970	153432970	1.16694E-7	.	.
12	CLEC12B	rs684134	10137259	10137259	1.19016E-7	.	.
8	PPP1R3B	rs330920	8997614	8997614	1.24747E-7	.	.
5	ADAMTS6	rs27394	64965757	64965757	1.27085E-7	.	.
5	FAM114A2	rs1382278	153434407	153434407	1.29749E-7	.	.
15	SCAPER	rs3812908	77176158	77176158	1.41878E-7	.	.
12	POC1B	rs2230281	89917518	89917518	1.47543E-7	.	.
13	SPART	SNP13-35775894	36877894	36877894	1.51276E-7	.	.
13	SPART	SNP13-35775978	36877978	36877978	1.51276E-7	.	.
5	FAM114A2	rs1057772	153372525	153372525	1.98219E-7	.	.
6	HLA-DPA1	rs7905	33032975	33032975	2.076E-7	.	.
6	NUP43	rs7818	150132092	150132092	2.50938E-7	.	.
12	A2M-AS1	SNP12-9054570	9163303	9163303	2.60486E-7	.	.
5	ATP6AP1L	rs226202	81571669	81571669	2.94708E-7	.	.
18	POLI	rs8305	51820805	51820805	3.13741E-7	.	.
12	IPO8	rs2304630	30881809	30881809	3.21477E-7	.	.
21	S100B	SNP21-46900791	48076363	48076363	3.21477E-7	.	.
1	FLVCR1-DT	rs3207090	213068595	213068595	3.33252E-7	.	.
8	PPP1R3B	rs330921	8997623	8997623	3.63772E-7	.	.
19	ZNF429	rs488125	21474173	21474173	3.63772E-7	.	.
21	CHODL	rs7277763	19163707	19163707	3.86682E-7	.	.
12	LINC00612	SNP12-9054570	9163303	9163303	3.99072E-7	.	.
12	CLEC12B	rs1060648	10136199	10136199	4.36293E-7	.	.
2	NBAS	rs13029846	15674686	15674686	4.3675E-7	.	.
6	GPR63	rs6684	97339078	97339078	4.79848E-7	.	.
1	GBP3	rs1409150	89473175	89473175	4.93044E-7	.	.
5	FAM114A2	SNP5-153414211	153434018	153434018	5.16715E-7	.	.
9	CUTALP	SNP9-122403354	123363533	123363533	5.23754E-7	.	.
17	HEATR6	rs237969	58325868	58325868	5.60945E-7	.	.
12	CLEC12B	rs607567	10131684	10131684	5.94486E-7	.	.
12	CLEC12B	rs479499	10137557	10137557	6.64026E-7	.	.
2	MAP3K2-DT	SNP2-127780316	128063846	128063846	7.05658E-7	.	.
21	PWP2	rs1051981	45525685	45525685	7.4826E-7	.	.
2	PPIL3	SNP2-201444357	201736112	201736112	7.93335E-7	.	.
1	GBP3	SNP1-89247406	89474818	89474818	7.93335E-7	.	.
5	IL5	SNP5-131847025	131819126	131819126	7.94148E-7	.	.
19	ZNF429	SNP19-21380005	21588165	21588165	8.18935E-7	.	.
21	CCT8	rs2250574	30318207	30318207	8.18935E-7	.	.
12	PZP	SNP12-9052915	9161648	9161648	8.68099E-7	.	.
21	CHODL	rs2220511	19164911	19164911	1.00325E-6	.	.
11	TMEM9B-AS1	SNP11-8925885	8969309	8969309	1.00325E-6	.	.
12	PZP	rs1805673	9163059	9163059	1.06625E-6	.	.
6	HLA-DQB2	SNP6-32735678	32627700	32627700	1.12505E-6	.	.
12	CLEC1B	rs1060648	10136199	10136199	1.2623E-6	.	.
13	SPART	SNP13-35784469	36886469	36886469	1.33817E-6	.	.
12	CLEC1B	rs684134	10137259	10137259	1.33951E-6	.	.
8	ADAM32	SNP8-38949207	38830050	38830050	1.58507E-6	.	.
11	XRRA1	SNP11-74225909	74548261	74548261	1.58507E-6	.	.
4	GYPE	SNP4-145251291	145031841	145031841	1.58507E-6	.	.
11	XRRA1	SNP11-74227039	74549391	74549391	1.58507E-6	.	.
17	GSDMB	rs907091	37921742	37921742	1.58507E-6	.	.
19	ZNF429	rs504280	21477379	21477379	1.58666E-6	.	.
1	KYAT3	rs3738055	89426902	89426902	1.58824E-6	.	.
17	MAPK8IP1P1	SNP17-41604546	44248769	44248769	1.67949E-6	.	.
17	MAPK8IP1P1	SNP17-41515668	44159849	44159849	1.67949E-6	.	.
12	CLEC12A	rs3903806	10135439	10135439	1.774E-6	.	.
12	CLEC1B	rs479499	10137557	10137557	2.21881E-6	.	.
4	TMPRSS11D	SNP4-68182766	68500171	68500171	2.34688E-6	.	.
4	TMPRSS11D	rs10010188	68534392	68534392	2.34688E-6	.	.
21	PWP2	rs7676	45565473	45565473	2.63494E-6	.	.
2	NBAS	SNP2-15525293	15607842	15607842	2.76968E-6	.	.
9	CUTALP	SNP9-122450640	123410819	123410819	2.78053E-6	.	.
12	CLEC1B	rs607567	10131684	10131684	3.07718E-6	.	.
1	PPP2R5A	rs14123	212534448	212534448	3.08917E-6	.	.
12	PZP	SNP12-9054570	9163303	9163303	3.26506E-6	.	.
2	FNBP1P1	rs6546891	74334790	74334790	3.34196E-6	.	.
12	CLEC12B	rs3903806	10135439	10135439	3.44052E-6	.	.
3	CCDC80	SNP3-113667462	112184772	112184772	3.63552E-6	.	.
1	GBP3	SNP1-89290708	89518120	89518120	4.0461E-6	.	.
5	ADAMTS6	SNP5-65000734	64964978	64964978	4.0461E-6	.	.
1	GBP3	rs2624	89518623	89518623	4.26976E-6	.	.
5	PPIP5K2	SNP5-102461308	102433409	102433409	4.50091E-6	.	.
12	LINC02470	SNP12-10034765	10143498	10143498	4.72142E-6	.	.
12	CLEC12A	SNP12-10015800	10124533	10124533	5.53016E-6	.	.
12	CLEC1B	rs3903806	10135439	10135439	5.56702E-6	.	.
12	CLEC1B	SNP12-10034765	10143498	10143498	5.82069E-6	.	.
5	SETD9	rs702689	56177443	56177443	6.18981E-6	.	.
12	POC1B	rs2230283	89916811	89916811	6.51953E-6	.	.
21	LCA5L	SNP21-39691160	40769290	40769290	6.65607E-6	.	.
12	CLEC12A	SNP12-10034765	10143498	10143498	6.80174E-6	.	.
2	NBAS	rs13014906	15614404	15614404	8.02185E-6	.	.
13	CDC16	rs7324744	115008038	115008038	8.5551E-6	.	.
8	LRRC6	rs2280871	133722669	133722669	8.87957E-6	.	.
12	LINC02470	rs479499	10137557	10137557	1.08851E-5	.	.
2	NBAS	rs1990754	15615910	15615910	1.08951E-5	.	.
12	LINC02470	rs1060648	10136199	10136199	1.14503E-5	.	.
3	HSPA8P18	SNP3-19967436	19992432	19992432	1.20324E-5	.	.
7	TRIM4	SNP7-99338847	99500911	99500911	1.20434E-5	.	.
17	LRRC37A	SNP17-41604546	44248769	44248769	1.20434E-5	.	.
17	LRRC37A	SNP17-41515668	44159849	44159849	1.20434E-5	.	.
11	CAT	rs769217	34482908	34482908	1.27589E-5	.	.
12	CLEC12B	SNP12-10034765	10143498	10143498	1.31256E-5	.	.
5	ERAP1	rs27529	96126308	96126308	1.33188E-5	.	.
5	ERAP1	rs30187	96124330	96124330	1.33188E-5	.	.
5	LINC01187	rs315717	169685163	169685163	1.40039E-5	.	.
13	RBM26-AS1	rs1155848	79888476	79888476	1.40039E-5	.	.
2	NBAS	SNP2-15518892	15601441	15601441	1.47091E-5	.	.
6	HLA-DQB1-AS1	rs3135391	32410987	32410987	1.54621E-5	.	.
1	GBP3	rs3806338	89735314	89735314	1.62371E-5	.	.
2	LY75	rs2729705	160710922	160710922	1.79156E-5	.	.
6	HLA-DQB1-AS1	SNP6-32735678	32627700	32627700	1.88072E-5	.	.
4	CYP4V2	rs13146272	187120211	187120211	1.92515E-5	.	.
10	MASTL	SNP10-27440867	27400861	27400861	1.9741E-5	.	.
5	PPIP5K2	SNP5-102566651	102538752	102538752	2.07188E-5	.	.
5	PPIP5K2	SNP5-102565278	102537379	102537379	2.07188E-5	.	.
1	CTSK	SNP1-149004821	150738197	150738197	2.07188E-5	.	.
5	SETD9	SNP5-56149607	56113850	56113850	2.17621E-5	.	.
1	HORMAD1	rs8444	150938571	150938571	2.17621E-5	.	.
21	TTC3	rs1053984	38574018	38574018	2.33276E-5	.	.
2	DNAH7	rs10931726	197021276	197021276	2.51555E-5	.	.
8	TRMT12	rs3812471	125498547	125498547	2.51555E-5	.	.
6	HLA-DQB1	SNP6-32735678	32627700	32627700	2.63867E-5	.	.
16	USP10	SNP16-83354104	84796603	84796603	2.76019E-5	.	.
3	EFHB	SNP3-19967436	19992432	19992432	2.89975E-5	.	.
2	RBM44	SNP2-238341461	238676722	238676722	2.9023E-5	.	.
6	HLA-DPB1	SNP6-33162435	33054457	33054457	3.04065E-5	.	.
12	METTL25	rs4296098	82792787	82792787	3.08094E-5	.	.
5	PPIP5K2	rs26821	102520400	102520400	3.18805E-5	.	.
16	GSPT1	rs2051546	11965741	11965741	3.22736E-5	.	.
12	LINC02470	rs607567	10131684	10131684	3.27571E-5	.	.
12	LINC02470	rs684134	10137259	10137259	3.27571E-5	.	.
6	NUP43	rs1125	149979416	149979416	3.27858E-5	.	.
12	CHFR	rs3741489	133417802	133417802	3.33931E-5	.	.
15	HERC2P10	SNP15-29046949	31259657	31259657	3.43391E-5	.	.
15	HERC2P10	rs11293	31234981	31234981	3.49127E-5	.	.
19	PEPD	rs3556	33878039	33878039	3.59934E-5	.	.
4	ANXA5	SNP4-122837195	122617745	122617745	3.72026E-5	.	.
21	IL10RB-DT	SNP21-33527648	34605778	34605778	3.84503E-5	.	.
3	FANCD2	SNP3-10143802	10168802	10168802	3.89199E-5	.	.
12	LINC02470	rs3903806	10135439	10135439	4.02569E-5	.	.
2	LRRFIP1	rs15232	238671940	238671940	4.02918E-5	.	.
20	SIRPB1	rs3848783	1530150	1530150	4.19262E-5	.	.
15	CHRNA5	rs8053	78841220	78841220	4.42289E-5	.	.
6	HLA-DQB1	rs3135391	32410987	32410987	4.42289E-5	.	.
7	TMEM176B	SNP7-150071582	150440649	150440649	4.42289E-5	.	.
5	CAST	rs28096	96109244	96109244	4.42289E-5	.	.
12	LARP4	rs4298982	50870429	50870429	4.53077E-5	.	.
5	ERAP2	SNP5-96147280	96121524	96121524	4.62522E-5	.	.
3	CCDC80	rs9855848	112251775	112251775	4.73777E-5	.	.
3	ATP13A4	rs1056392	193414733	193414733	4.80325E-5	.	.
5	PARP8	SNP5-50123223	50087466	50087466	4.84876E-5	.	.
8	LRRC6	rs16904746	133844508	133844508	5.07383E-5	.	.
3	FANCD2	rs6442154	10168785	10168785	5.30425E-5	.	.
12	METTL25	rs10778908	82783668	82783668	5.30425E-5	.	.
2	LY75	SNP2-160445867	160737621	160737621	5.30425E-5	.	.
2	LY75	rs16822581	160738677	160738677	5.30425E-5	.	.
3	FANCD2	rs6785976	10168647	10168647	5.30425E-5	.	.
1	CCDC18-AS1	rs2783499	93672688	93672688	5.50693E-5	.	.
7	TMEM176A	SNP7-150071582	150440649	150440649	6.08732E-5	.	.
2	CRIM1	rs848642	36782886	36782886	6.36107E-5	.	.
17	PLD6	rs3182911	17168164	17168164	6.36107E-5	.	.
5	ADAMTS6	rs1549192	64965900	64965900	6.42045E-5	.	.
8	LRRC6	rs4736611	133858712	133858712	6.65765E-5	.	.
1	FNBP1L	rs17131741	93827300	93827300	6.65765E-5	.	.
8	LRRC6	SNP8-133929059	133859877	133859877	6.65765E-5	.	.
21	IL10RB-DT	rs7279064	34614255	34614255	6.95558E-5	.	.
8	LRRC6	rs235432	133824377	133824377	6.96143E-5	.	.
15	CATSPER2	rs11855807	44102010	44102010	7.0202E-5	.	.
3	SLC6A20	SNP3-45695803	45720799	45720799	7.02611E-5	.	.
19	RN7SL842P	rs2230748	14512489	14512489	7.2783E-5	.	.
3	CCDC80	rs2969896	112256630	112256630	7.60877E-5	.	.
1	HORMAD1	SNP1-149004821	150738197	150738197	7.94676E-5	.	.
5	RN7SKP62	SNP5-100172219	100144320	100144320	7.94676E-5	.	.
1	KYAT3	SNP1-89044162	89271574	89271574	7.94676E-5	.	.
5	YTHDC2	rs6594732	112868693	112868693	7.94676E-5	.	.
16	NOD2	rs3135500	50766886	50766886	8.29891E-5	.	.
14	ZNF410	rs3177095	74388908	74388908	8.31274E-5	.	.
5	ERAP2	rs26618	96130836	96130836	8.31967E-5	.	.
6	PSORS1C3	rs4122189	31167927	31167927	8.31967E-5	.	.
16	TXNDC11	rs7194034	11770777	11770777	8.37527E-5	.	.
21	CHODL	rs243609	19161689	19161689	8.68018E-5	.	.
5	IL5	SNP5-131851418	131823519	131823519	8.75985E-5	.	.
15	HERC2P10	rs1133642	31267147	31267147	9.07796E-5	.	.
16	BBS2	SNP16-54953111	56395610	56395610	9.23726E-5	.	.
3	ATP13A4	SNP3-194869527	193386833	193386833	9.33719E-5	.	.
9	SLC31A2	rs3810906	115925104	115925104	9.48508E-5	.	.
2	DOCK10	rs7577271	225709926	225709926	9.90938E-5	.	.
12	IPO8	SNP12-30673677	30782410	30782410	0.0001035	.	.
13	LNX2	rs7097	28197436	28197436	0.0001035	.	.
3	CCDC80	SNP3-113671299	112188609	112188609	0.0001081	.	.
4	CXCL5	rs3775488	74862852	74862852	0.0001169	.	.
1	GBP3	rs10922575	89589556	89589556	0.0001177	.	.
13	ATP8A2P3	rs301047	26788114	26788114	0.0001178	.	.
